CASEID,CONSENT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q10h,Q10i,Q10j,Q10k,Q10l,Q10m,Q10n,Q10o,Q10p,Q10q,Q10r,Q11a,Q11b,Q11c,Q11c_1,Q11c_2,Q11c_3,Q11c_4,Q11c_5,Q11c_6,Q11c_7,Q11c_8,Q11c_9,Q11c_10,Q11c_11,Q11c_12,Q11c_13,Q11c_14,Q11c_15,Q11c_16,Q11c_17,Q11c_18,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q14,Q15,Q16,Q16x,Q17,Q18,Q19,Q20a,Q20b,Q21,Q23,Q24,Q25,Q32a,Q32b,Q33,Q34,Q35,Q36,Q40,Q41,Q42,Q42x,Q43,AGE,Gender,Q16a,Q16b,Q16c,Q16c_1,Q16c_2,Q16c_3,Q16c_4,Q16c_5,Q16c_6,Q16d1,Q16d2,Q16d3,party,CNTY,FIPS,HOME,PERMAV,CD,SD,AD,F13,F14,F15,F16,F17,F18,F19,F20,EndDate,Durationinseconds,Finished,RecordedDate,lang,WEIGHT,ETHNICITY,LIKELY_2020_PRIMARY,LIKELY_2020_GENERAL
1648,1,2,4,5,5,2,2,1, ,1, , ,2,1,1,1,2,1,2,1,1,1,2,1,1,3,1,2,3,3, 2,10,",1,5,16,                                       ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,2,2,2,3,2,2,1,2,1,1,1,1,1,1,4,2,1,1,1,1,3,1,1,3,1,1,1, ,5,1,"4                                                                                                                                                                                                                                             ",2,1, ,2,1,4,68,2,7,2,"      1",1,0,0,0,0,0,3,4,4,"        Democrat",30, 59,"H","Y",45,37,74,"P","P","P","P","A","P","A","A","04-JUN-2019 15:50:06",   572,1,"04-JUN-2019 15:50:06",1, 0.41749,1,1,1
1649,1,1,1,1,1,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4,2,4,2,1,2,2,4,2, ,2,1,"Less than 1 yr                                                                                                                                                                                                                                ",4,1, ,1,1,4,31,2,5,1,"       ", , , , , , ,3,4,4,"      Republican",34, 67," "," ", 7, 1, 6,"N","N","N","N","N","N","A","N","04-JUN-2019 15:50:31",   699,1,"04-JUN-2019 15:50:32",1, 1.56152,2,1,1
1650,1,1,2,2,1,2,1,3, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,3,2,3,2,4,2,1,2,2,4,3,1,4,2,"20                                                                                                                                                                                                                                            ",3,1, ,2,2,2,24,1,7,1,"       ", , , , , , ,3,3,2,"Decline to State",10, 19,"H"," ",21,14,31,"N","N","N","N","N","P","N","N","04-JUN-2019 15:50:38",   661,1,"04-JUN-2019 15:50:38",1, 0.77092,2,2,2
1651,1,2,4,3,4,2,2,1, ,1, , ,3,2,1,1,2,1,2,3,3,1,2,3,1,3,3,3,3,3,10,13,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,3,2,2,1,1,2,2,1,2,1,1,4,3,1,2,2,2,3,1,2,2,1,3,1, ,3,1,"3                                                                                                                                                                                                                                             ",2,1, ,2,1,6,59,2,8,2,"      1",1,0,0,0,0,0,3,1,1,"        Democrat",19, 37," ","Y",37,30,54,"N","N","N","N","N","A","N","A","04-JUN-2019 15:51:27",   618,1,"04-JUN-2019 15:51:28",1, 0.58068,1,1,1
1652,1,2,4,5,5,2,2,1, , ,1, ,3,1,1,1,3,3,1,3,3,1,1,3,2,3,3,3,3,3,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,3,1,1,2,1,2,3,2,5,1,"30 years                                                                                                                                                                                                                                      ",3,1, ,2,1,4,67,1,7,2,"      1",1,0,0,0,0,0,2,3,3,"Decline to State",49, 97,"H","Y", 5, 2, 2,"A","A","A","A","A","A","A","A","04-JUN-2019 15:51:41",   814,1,"04-JUN-2019 15:51:41",1, 0.54775,1,1,1
1653,1,2,4,4,5,2,1,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,1,2,1,3,2,1,3,2,3,1, ,3,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,2, ,29,1,7,2,"      1",1,0,0,0,0,0,2,2,3,"        Democrat",38, 75," ","Y",12,11,17,"N","N","N","N","N","A","N","A","04-JUN-2019 15:51:49", 12653,1,"04-JUN-2019 15:51:50",1, 0.41180,1,2,1
1654,1,2,4,4,5,2,2,1, , ,1, ,3,2,3,3,1,3,2,3,2,1,1,1,1,3,3,3,3,3,10, 5,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,3,2,3,3,2,2,2,1,2,2,1,1,1,4,2,2,1,1,1,2, ,1,3,1,1,1, ,4,1,"15                                                                                                                                                                                                                                            ",1,1, ,2,2,6,54,2,7,1,"       ", , , , , , ,1,2,2,"Decline to State",43, 85,"H","Y",18,13,24,"N","A","N","N","N","A","A","A","04-JUN-2019 15:52:23",   762,1,"04-JUN-2019 15:52:24",1, 0.29158,2,1,1
1655,1,2,4,5,5,2,2,1, ,1, , ,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2, 7, 2,",1,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,     ",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1, ,1,1,1,1,4,2,5,5,"5                                                                                                                                                                                                                                             ",3,1, ,2,2,3,33,1,8,1,"       ", , , , , , ,1,1,1,"        Democrat", 7, 13," ","Y",11, 9,15,"N","P","N","N","A","A","A","A","04-JUN-2019 15:53:06",   573,1,"04-JUN-2019 15:53:06",1, 0.26874,2,1,1
1656,1,2,4,3,4,2,1,1, ,1, , ,2,1,2,3,2,3,1,3,3,1,1,3,2,3,3,3,3,3, 2,11,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,1,2,3,1,1,1,2,2,1,2,1,1,1,4,2,2,1,1,1,3,1,1,2,2,1,1, ,5,5,"0                                                                                                                                                                                                                                             ",1,1, ,2,2,1,19,2,5,2,"      1",1,0,0,0,0,0,1,2,1,"        Democrat",41, 81,"H","Y",14,13,22,"N","N","N","N","N","N","A","A","04-JUN-2019 15:53:17",   802,1,"04-JUN-2019 15:53:17",1, 0.29619,1,1,1
1657,1,2,4,5,5,1,2,1, , ,3, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,2,1,2,1,3,1,1,3,1,1,3,2,4,1,"10                                                                                                                                                                                                                                            ",1,1, ,2,2,6,61,2,7,2,"      6",1,0,0,0,0,0, , , ,"Decline to State",37, 73,"H"," ",49,36,76,"N","P","N","P","P","P","P","P","04-JUN-2019 15:53:19",  8213,1,"04-JUN-2019 15:53:19",1, 0.33397,1,2,1
1658,1,1,1,1,1,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3,2,3,2,3,2,2,4,2,3,2, ,2,1,"30                                                                                                                                                                                                                                            ",3,1, ,1,1,3,79,1,6,2,"      6",0,0,0,0,0,0, , , ,"      Republican", 1,  1,"H"," ",15,10,20,"P","A","A","P","P","P","N","P","04-JUN-2019 15:53:43",  2619,1,"04-JUN-2019 15:53:43",1, 1.96569,5,1,1
1659,1,2,3,4,4,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,3,2,2,3,2,4,1,1,4,1,1,3,3,4,1,"2                                                                                                                                                                                                                                             ",1,1, ,2,2,2,29,1,7,1,"       ", , , , , , ,1,2,1,"           Other",37, 73," ","Y",51,40,80,"N","N","N","N","N","N","N","A","04-JUN-2019 15:55:14",   624,1,"04-JUN-2019 15:55:14",1, 0.35667,2,2,1
1660,1,1,2,2,2,4,1,4,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3,1,1,1,4,1,2,4,2,1,2, ,2,1,"1                                                                                                                                                                                                                                             ",4,1, ,2,2,6,58,1,7,2,"      1",1,0,0,0,0,0,2,4,3,"      Republican",19, 37," "," ",47,33,70,"N","N","N","N","N","N","N","N","04-JUN-2019 15:55:30",   499,1,"04-JUN-2019 15:55:31",1, 1.74774,1,2,2
1661,1,2,2,2,3,4,1,1,2, , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,3,1,1,1,4,2,1,4,2,2,4,1,2,1,"1                                                                                                                                                                                                                                             ",2,1, ,1,2,2,26,1,7,1,"       ", , , , , , ,4,4,4,"      Republican",31, 61," "," ", 4, 1, 6,"N","N","N","N","N","N","N","P","04-JUN-2019 15:55:30",   513,1,"04-JUN-2019 15:55:31",1, 0.31552,2,2,1
1662,1,1,2,2,2,4,1,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,3,1,4,2,1,3,2,3,3,1,2,1,"7                                                                                                                                                                                                                                             ",3,2,3,2,2,4,32,1,5,1,"       ", , , , , , ,2,1,3,"           Other",34, 67,"H","Y", 6, 6, 7,"N","P","N","N","A","A","A","A","04-JUN-2019 15:55:33",  3531,1,"04-JUN-2019 15:55:34",1, 0.76168,2,2,1
1663,1,2,4,4,4,2,2,1, ,1, , ,2,1,1,1,3,3,1,3,3,3,1,3,2,3,3,3,3,3, 3, 7,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,2,2,3,2,1,2,2,2,1,1,2,1,1,4,2,1,2,3,2,3,1,1,4,1,2,1, ,3,1,"12                                                                                                                                                                                                                                            ",2,1, ,2,2,4,65,2,8,2,"      1",1,0,0,0,0,0,1,3,3,"        Democrat",19, 37," ","Y",28,26,50,"A","A","A","A","A","A","A","A","04-JUN-2019 15:55:49",   837,1,"04-JUN-2019 15:55:49",1, 0.66135,1,1,1
1664,1,2,4,4,5,2,1,1, , ,1, ,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3, 7,13,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,2,1,1,1,1,1,1,1,2,1,1,4,2,1,2,2,2, , ,1,4,1,1,3,2,5,5,"6                                                                                                                                                                                                                                             ",1,1, ,2,2,1,26,2,3,2,"      1",1,0,0,0,0,0,1,4,4,"Decline to State",12, 23," ","Y", 2, 2, 2,"N","N","N","N","N","N","N","N","04-JUN-2019 15:56:04",   858,1,"04-JUN-2019 15:56:04",1, 5.71154,1,2,2
1665,1,2,4,5,5,2,1,1, , ,1, ,3,2,3,1,2,1,2,2,3,1,1,3,2,3,1,2,3,2,10,11,",2,                                            ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,2,1,2,2,2,2,2,1,2,1,1,1,4,3,2,1,1,1,3,1,1,2,2,1,3,2,4,5,"3                                                                                                                                                                                                                                             ",2,1, ,2,2,2,61,2,7,2,"      1",1,0,0,0,0,0,2,4,4,"Decline to State",30, 59,"H","Y",45,37,74,"A","A","A","N","A","A","A","A","04-JUN-2019 15:56:13",  1180,1,"04-JUN-2019 15:56:14",1, 0.46399,1,1,1
1666,1,1,2,2,3,4,1,1, , ,4, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,4,2,4,1,2,2,2,3,4,2,5,2,"3                                                                                                                                                                                                                                             ",1,2,3,1,1,2,23,1,7,1,"       ", , , , , , ,1,1,1,"Decline to State",34, 67,"H","Y", 6, 6, 7,"N","N","N","N","N","A","A","N","04-JUN-2019 15:56:23", 13051,1,"04-JUN-2019 15:56:24",1, 0.34904,2,2,1
1667,1,1,1,2,2,3,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,3,2,4,1,2,4,2,2,2, ,2,2,"8                                                                                                                                                                                                                                             ",3,1, ,2,2,5,67,1,6,2,"      6",1,0,0,0,1,0, , , ,"      Republican",37, 73,"H"," ",50,38,75,"N","P","N","P","P","P","P","P","04-JUN-2019 15:56:41",  1214,1,"04-JUN-2019 15:56:41",1, 2.20233,5,1,1
1668,1,1,1,1,2,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,4,2,4,2,1,4,2,3,2, ,2,1,"4                                                                                                                                                                                                                                             ",1,1, ,1,2,5,27,1,5,2,"      1",1,0,0,0,0,0, ,3,4,"      Republican",10, 19," "," ",22, 8,23,"N","P","P","P","A","A","N","P","04-JUN-2019 15:57:10",   937,1,"04-JUN-2019 15:57:10",1, 0.62688,1,1,1
1669,1,2,3,5,5,3,1,1, , ,1, ,1,1,3,3,3,3,1,3,3,3,2,1,1,3,3,3,3,3,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,1,3,2,1,1,2,2,2,1,2,2,1,4,3,2,2,3,2,3,2,1,1,1,3,3,3,3,1,"5                                                                                                                                                                                                                                             ",1,1, ,2,1,2,45,1,5,2,"      1",1,0,0,0,0,0,3,3,3,"Decline to State",24, 47," ","Y",16,12,21,"N","N","N","N","N","A","N","A","04-JUN-2019 15:57:25",  4894,1,"04-JUN-2019 15:57:26",1, 1.11701,1,1,1
1670,1,2,4,4,4,2,2,1, ,1, , ,3,1,1,1,3,3,1,3,3,1,1,3,2,3,3,3,3,3, 2,10,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,1,2,2,2,1,2,1,1,2,1,1,1,1,1,4,2,1,1,1,1,2, ,1,3,1,2,1, ,5,5,"1                                                                                                                                                                                                                                             ",3,1, ,2,2,3,30,1,4,2,"      6",1,0,0,0,0,0, , , ,"        Democrat",38, 75," "," ",14,11,19,"N","N","N","N","N","N","N","P","04-JUN-2019 15:57:28",   687,1,"04-JUN-2019 15:57:29",1, 0.83731,1,1,1
1671,1,2,4,4,4,2,2,1, , ,1, ,1,1,3,1,1,3,1,3,3,1,1,3,1,3,3,3,3,3, 2,10,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,2,2,1,1,1,2,1,1,1,1,1,1,4,2,1,1,1,1,2, ,1,3,1,2,3,2,4,1,"20                                                                                                                                                                                                                                            ",3,1, ,1,1,4,56,1,8,2,"      1",1,0,0,0,0,0,3,4,4,"Decline to State",52,103,"H","Y", 1, 4, 3,"A","A","A","A","A","A","A","A","04-JUN-2019 15:58:05",   967,1,"04-JUN-2019 15:58:05",1, 0.58937,1,1,1
1672,1,2,4,4,5,2,1,1, ,1, , ,1,1,1,1,1,3,1,3,3,1,1,3,1,3,3,3,3,3,10,13,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,2,3,1,2,1,1,2,1,2,1,1,1,4,2,1,1,1,1,2, ,1,2,2,1,1, ,5,1,"1                                                                                                                                                                                                                                             ",4,1, ,2,2,6,50,2,7,2,"      1",1,0,0,0,0,0,1,2,2,"        Democrat",19, 37," "," ",33,26,66,"P","P","P","P","P","P","P","P","04-JUN-2019 15:58:07",   518,1,"04-JUN-2019 15:58:07",1, 0.46892,1,1,1
1673,1,2,4,5,5,2,2,1, ,1, , ,2,1,2,2,2,2,1,2,1,2,2,3,2,2,3,3,3,2, 7, 2,",3,5,6,8,10,13,18,                             ",0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,2,2,3,4,1,2,3,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,2, ,1,1,1,2,1, ,5,5,"22 years, my entire life                                                                                                                                                                                                                      ",3,1, ,2,1,1,22,1,6,1,"       ", , , , , , ,1,2,2,"        Democrat",19, 37," ","Y",43,35,62,"N","N","N","N","A","A","A","A","04-JUN-2019 15:58:07",   725,1,"04-JUN-2019 15:58:08",1, 0.56102,2,1,1
1674,1,2,3,4,4,2,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,3,2,4,2,4,1,1,4,2,1,2, ,3,1,"1                                                                                                                                                                                                                                             ",4,1, ,2,2,5,59,2,6,1,"       ", , , , , , ,1,1,2,"      Republican",49, 97," ","Y", 5, 3,10,"P","A","A","A","A","A","A","P","04-JUN-2019 15:58:27",   564,1,"04-JUN-2019 15:58:28",1, 0.80655,2,1,1
1675,1,1,1,1,2,4,1,3,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,3,2,4,2,1,2,2,1,2, ,2,2,"three                                                                                                                                                                                                                                         ",4,1, , ,2, ,69,1,8, ,"       ", , , , , , , , , ,"      Republican",44, 87," ","Y",18,17,29,"N","N","N","N","N","A","P","A","04-JUN-2019 15:59:31",   553,1,"04-JUN-2019 15:59:32",1, 0.71216,2,1,1
1676,1,1,1,1,3,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,1,2,1,1, ,1,3,2,2,3,1,1,1,"15                                                                                                                                                                                                                                            ",4,2, ,2,2,5,68,2,8,2,"    1,6",1,0,0,0,0,0,2,2,2,"      Republican", 1,  1,"H","Y",13, 9,15,"A","A","A","A","A","A","A","A","04-JUN-2019 15:59:42",  2435,1,"04-JUN-2019 15:59:42",1, 0.67340,1,1,1
1677,1,2,4,5,4,2,1,1, ,1, , ,3,1,3,1,3,3,1,3,3,3,1,3,1,3,3,3,3,3,13, 4,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,1,2,4,2,1,2,2,3,3,1,3,1,1,4,3,2,1,2,1,2, ,2,2,1,2,1, ,3,1,"10                                                                                                                                                                                                                                            ",2,1, ,1,2,5,57,1,8,2,"      2",0,1,0,0,0,0,2,2,3,"        Democrat",15, 29,"H","Y",23,16,34,"A","A","N","N","A","A","A","A","04-JUN-2019 15:59:49",  1137,1,"04-JUN-2019 15:59:49",1, 0.71015,3,1,1
1678,1,2,3,2,4,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,2,2,2,4,2,4,1,1,2,1,1,3,1,4,5,"15                                                                                                                                                                                                                                            ",4,1, ,2,2,3,23,2,7,2,"      6",1,0,0,0,0,0, , , ,"           Other",30, 59," ","Y",45,37,74,"N","N","N","N","N","N","N","N","04-JUN-2019 15:59:59",   423,1,"04-JUN-2019 16:00:00",1, 0.35162,1,2,2
1679,1,1,3,2,2,2,1,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,2,1,3,1,3,2,2,2,2,2,3,3,3,1,"1                                                                                                                                                                                                                                             ",1,1, ,2,1,3,47,1,7,2,"      6",0,0,0,0,0,0, , , ,"Decline to State",34, 67," "," ", 6, 6, 7,"N","N","N","N","N","N","N","N","04-JUN-2019 16:01:40",  1093,1,"04-JUN-2019 16:01:40",1, 1.75429,5,2,2
1680,1,2,4,5,5,1,2,1, ,1, , ,2,1,2,2,2,3,1,2,3,2,1,3,2,3,3,3,3,3, 2,11,",1,3,5,10,13,                                  ",1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,4,2,2,2,4,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,4,1,1,4,2,1,1, ,5,3,"4                                                                                                                                                                                                                                             ",3,1, ,2,2,4,77,1,8,2,"      1",1,0,0,0,0,0,3,4,4,"        Democrat",49, 97,"H","Y", 2, 3,10,"N","N","N","N","A","A","A","A","04-JUN-2019 16:03:00",  1374,1,"04-JUN-2019 16:03:01",1, 0.54785,1,1,1
1681,1,1,2,1,1,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,3,2,4,2,2,4,2,3,2, ,1,1,"31                                                                                                                                                                                                                                            ",3,1, ,1,2,5,72,1,3,2,"      1",1,0,0,0,0,0,2,3,3,"      Republican",20, 39,"H","Y", 4, 8, 5,"N","P","N","P","P","P","A","A","04-JUN-2019 16:03:03",   855,1,"04-JUN-2019 16:03:04",1, 3.12925,1,1,1
1682,1,2,3,3,4,2,1,1, ,1, , ,3,1,1,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3, 3, 7,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,1,2,2,2,2,1,2,1,2,1,1,1,1,4,3,2,1,1,1,3,2,1,4,1,3,1, ,4,1,"4                                                                                                                                                                                                                                             ",2,1, ,2,2,5,39,2,8,2,"      1",1,0,0,0,0,0,3,4,4,"        Democrat", 1,  1,"H","Y",13, 9,18,"A","A","N","A","A","A","A","A","04-JUN-2019 16:03:32",   622,1,"04-JUN-2019 16:03:33",1, 0.50010,1,1,1
1683,1,2,4,4,5,3,1,1, ,1, , ,3,2,3,3,1,3,2,3,3,2,1,2,1,3,3,3,3,3,13, 5,",2,12,                                         ",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,4,3,1,3,3,2,2,1,3,1,1,1,3,1,1,4,3,2,2,4,2,3,1,1,3,2,4,1, ,3,1,"4                                                                                                                                                                                                                                             ",2,1, ,2,1,5,53,1,4,2,"      1",1,0,0,0,0,0,1,3,2,"        Democrat",33, 65,"H","Y",36,28,56,"N","N","N","N","A","A","A","A","04-JUN-2019 16:03:35",   953,1,"04-JUN-2019 16:03:37",1, 0.80810,1,1,1
1684,1,2,4,4,5,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,1,3,1,4,1,2,2,2,4,3,1,3,3,"1                                                                                                                                                                                                                                             ",1,1, ,2,2,5,67,1,8,2,"      6",0,0,0,0,0,1, , , ,"      Republican",10, 19," ","Y",22, 8,23,"A","A","A","A","A","A","P","A","04-JUN-2019 16:03:41",   893,1,"04-JUN-2019 16:03:42",1, 0.58236,5,1,1
1685,1,2,4,4,5,2,2,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,2,1,1,1,3,1,1,3,2,3,3,2,4,1,"20                                                                                                                                                                                                                                            ",3,1, ,2,2,4,69,1,6,2,"      1",1,0,0,0,0,0, ,2,3,"Decline to State",49, 97,"H","Y", 5, 2,10,"N","A","N","N","A","A","A","A","04-JUN-2019 16:04:15",  1365,1,"04-JUN-2019 16:04:16",1, 1.20564,1,2,1
1686,1,2,4,5,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,1,1,1,2, ,1,1,1,3,3,2,4,5,"3                                                                                                                                                                                                                                             ",1,1, ,2,2,4,34,1,8,2,"      2",0,1,0,0,0,0,2,2,2,"Decline to State",19, 37," "," ",29,18,39,"N","N","N","N","N","A","A","P","04-JUN-2019 16:04:24",  1119,1,"04-JUN-2019 16:04:24",1, 0.74385,3,2,1
1687,1,2,4,5,5,2,2,1, ,1, , ,2,1,1,2,3,2,1,2,2,1,1,2,1,2,3,3,2,2,11, 3,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1, ,1,2,1,1,1, ,3,2,"5                                                                                                                                                                                                                                             ",1,1, ,2,2,5,33,1,7,2,"      1",1,0,0,0,0,0,4,4,4,"        Democrat",38, 75," ","Y",12,11,19,"N","N","N","N","N","A","N","N","04-JUN-2019 16:05:27",   441,1,"04-JUN-2019 16:05:28",1, 1.32597,1,2,1
1688,1,2,3,2,2,4,1,2,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,2,3,2,4,2,4,2,2,3,2,1,2, ,1,1,"18                                                                                                                                                                                                                                            ",3,1, ,1,2,5,73,1,7,2,"      1",1,0,0,0,0,0,1,1,1,"      Republican",33, 65,"H","Y",36,28,56,"P","P","N","P","P","A","A","A","04-JUN-2019 16:05:32",   679,1,"04-JUN-2019 16:05:33",1, 0.46808,1,1,1
1689,1,2,4,5,5,1,2,1, , ,1, ,3,1,1,3,3,3,1,3,3,1,1,3,1,3,3,3,3,3,10,13,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,1,3,3,2,2,1,2,2,1,2,1,1,4,3,2,1,1,1,2, ,1,2,2,1,1, ,4,1,"23                                                                                                                                                                                                                                            ",3,1, ,2,2, ,64,2,7,2,"      1",1,0,0,0,0,0,2,3,2,"Decline to State",19, 37,"H","Y",33,26,50,"A","A","A","A","A","A","A","A","04-JUN-2019 16:05:57",  2278,1,"04-JUN-2019 16:05:57",1, 0.67480,1,1,1
1690,1,2,4,5,5,2,2,1, ,1, , ,2,1,1,1,2,3,1,3,3,1,1,1,1,1,3,3,3,1,11, 2,",1,                                            ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,3,2,1,2,1,1,2,1,1,2,1,1,4,1,1,1,1,1,4,1,2,2,1,1,1, ,5,3,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,5,57,1,8,2,"      1",1,0,0,0,0,0,4,4,4,"        Democrat",19, 37," "," ",28,24,43,"N","N","N","N","N","N","N","P","04-JUN-2019 16:06:35",  2680,1,"04-JUN-2019 16:06:36",1, 0.45643,1,1,1
1691,1,2,4,5,4,2,2,1, ,1, , ,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3, 7,13,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,1,3,4,1,1,1,1,1,3,1,1,1,1,4,2,2,1,1,1,4,1,1,3,1,2,1, ,4,1,"9                                                                                                                                                                                                                                             ",4,1, ,2,2,5,42,1,5,1,"       ", , , , , , ,1,3,3,"        Democrat",37, 73,"H","Y",53,39,79,"A","A","N","N","N","A","A","A","04-JUN-2019 16:06:55",  1393,1,"04-JUN-2019 16:06:57",1, 0.28142,2,1,1
